name,id,tech/manufacturer,primaryRoleStr,customPrimary
H-23机载反舰炮,aEP_ftr_ftr_hvfighter_gun,FSF制造,反装甲,
K-14机载重机枪,aEP_ftr_ftr_helicop_lmg,FSF制造,反装甲,
撞针火箭巢,aEP_ftr_ftr_helicop_rocket,FSF制造,反护盾,
多用途微型长矛,aEP_ftr_icp_gunship_beam,FSF制造,通用,
导电体机枪,aEP_ftr_icp_gunship_gun,FSF制造,点防御,
H-12机载速射机炮,aEP_ftr_sup_guardian_gun,FSF制造,反装甲,
HVK狙击自动炮,aEP_ftr_sup_guardian_gun3,FSF制造,反护盾,
碎石坦克炮,aEP_ftr_sup_tank_main,FSF制造,反装甲,
防空烟雾弹,aEP_ftr_sup_tank_flak,FSF制造,点防御,
荡平反应炸弹,aEP_ftr_bom_nuke_bomb,FSF制造,反工事,
BAC爆射突击炮,aEP_ftr_bom_attacker_gun,FSF制造,反装甲,
拆解光束,aEP_ftr_ut_decompose_beam,FSF制造,辅助,击中残骸时，造成额外伤害，飞机返航后获得补给
磁吸炸弹,aEP_ftr_ut_shendu_mine,FSF制造,反装甲,磁吸炸弹会被最近的敌方舰船吸引，包括相位中的舰船
机载反舰长矛,aEP_ftr_ut_shendu_beam,FSF制造,反装甲,
锚点ADS系统-战机,aEP_ftr_ut_maodian_ads,FSF制造,点防御,"击中敌方可穿透导弹的弹丸时，降低其{%s}点伤害

弹丸属于导弹，可以被拦截"
锚点ADS系统-舰载,aEP_cru_maodian_ads,FSF制造,点防御,"击中敌方可穿透导弹的弹丸时，降低其{%s}点伤害

弹丸属于导弹，可以被拦截"
幅能转移光束,aEP_ftr_ut_supply_main,FSF制造,辅助,"击中舰船时，以{%s}的速度吸取目标幅能，转化为自身的硬幅能

如果目标正在激活不可耗散的战术系统，无法吸取任何幅能

对FSF的舰船效果更好"
修复光束,aEP_ftr_ut_repair_beam,FSF制造,辅助,"击中舰船时，维修{%s}+{%s}的装甲，最多恢复到满状态的{%s}

如果装甲修复完成，最多可以将结构值恢复到最满状态的{%s}

对FSF的舰船效果更好"
,,,,
,,,,
"德雷克喷火器",aEP_e_s_flamer,FSF胡乱改造,反装甲,
"Boom爆炸长矛",aEP_m_s_bomblance,FSF胡乱改造,反装甲,"本武器在靠近敌方舰船时会自动发射

本武器在下线后会立刻修复"
"闪电扰动机炮",aEP_b_m_lighting,FSF先进武器计划,反护盾,"击中护盾时，为目标施加一个可叠加的负面状态：

在接下来的{%s}秒内，每层增加目标的护盾维持消耗{%s}"
"海啸重型轨道火炮",aEP_b_l_railwaygun,FSF先进武器计划,通用,击中护盾造成目标过载时，弹丸会继续前进
,,,,
,,,,
,,,,
,,,,
