name,id,tech/manufacturer,primaryRoleStr,customPrimary,customAncillary
--Payload,aEP_m_m_blasthammer3,,,,
Disposal Flux Tube,aEP_m_s_fluxtube,FSF Manufacture,Support,"When the flux level of this ship is above %s, this weapon will fire automatically and reduce flux by %s.",This weapon can not be fired manually
Disposal Flux Tube Pod,aEP_m_m_fluxtube,FSF Manufacture,Support,"When the flux level of this ship is above %s, this weapon will fire automatically and reduce flux by %s.",This weapon can not be fired manually
Nail Gun LRM,aEP_m_s_harpoon,FSF Manufacture,Anti-shield,"When hitting shields, it deals an extra %s kinetic damage in soft flux.",
Nail Gun LRM System,aEP_m_l_harpoon,FSF Manufacture,Anti-shield,"When hitting shields, it deals an extra %s kinetic damage in soft flux.",
Percussion Drill Bombardment LRM,aEP_m_s_cluster,FSF Manufacture,Anti-armor,,
DF-1 ERA,aEP_m_s_era,FSF Manufacture,PD,"When the hull around this weapon takes a damage that >= %s or %s times the ship's armor, one ERA activates, mitigating that damage by %s.",This weapon can not be fired manually
--Payload,aEP_m_s_era2,,,,
Pushpin Magnet Bomb Cluster,aEP_m_s_magnetmine,FSF Manufacture,Anti-armor,"When its projectiles approach an enemy, it will split into %s magnet bombs, each one dealing %s HE damage.",
Pushpin Magnet Bomb Cluster Pod,aEP_m_m_magnetmine,FSF Manufacture,Anti-armor,"When its projectiles approach an enemy, it will split into %s magnet bombs, each one dealing %s HE damage.",
Tyre Spike Phase Mine,aEP_m_m_phasemine,FSF Manufacture,Anti-armor,"Those mines have extremely long lifetime and will remain in phase space with no collision until the fuse is armed.
At most %s mines can coexist on the battlefield. That cap is lift by %s for every mine deployer mounted on a deployed ship.",
--Triggered,aEP_m_m_phasemine2,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
H-23 Fighter Anti-ship Gun - Fighter,aEP_ftr_ftr_hvfighter_gun,FSF Manufacture,Anti-armor,,
K-14 Fighter HMG - Fighter,aEP_ftr_ftr_helicop_lmg,FSF Manufacture,Anti-armor,,
Nail Rocket Launcher - Fighter,aEP_ftr_ftr_helicop_rocket,FSF Manufacture,Anti-shield,,
EMS LMG - Fighter,aEP_ftr_icp_gunship_gun,FSF Manufacture,PD,,
H-12 Anti-ship MG - Fighter,aEP_ftr_sup_guardian_gun,FSF Manufacture,Anti-armor,,
HVK Long Range Gun - Fighter,aEP_ftr_sup_guardian_gun3,FSF Manufacture,Anti-shield,,
Tank Cannon - Fighter,aEP_ftr_sup_tank_main,FSF Manufacture,Anti-armor,,
Smoke Bomb - Fighter,aEP_ftr_sup_tank_flak,FSF Manufacture,PD,,
Nuke Mine - Fighter,aEP_ftr_bom_nuke_bomb,FSF Manufacture,Anti-armor,,
Burst Assault Cannon - Fighter,aEP_ftr_bom_attacker_gun,FSF Manufacture,Anti-armor,,
Scrape Beam - Fighter,aEP_ftr_ut_decompose_beam,FSF Manufacture,Support,"When hitting hulks, it deals extra FRAG damage and recycles supplies. Those supplies are added to your cargo if the done made its way landing.",
Magnet Bomb - Fighter,aEP_ftr_ftr_shendu_mine,FSF Manufacture,Anti-armor,"The magnet bomb will be attracted to nearby enemy ships, including phased ships.",
Anti-ship Laser - Fighter,aEP_ftr_ftr_shendu_beam,FSF Manufacture,Anti-armor,,
Anchor ADS System,aEP_ftr_ut_maodian_ads,FSF Manufacture,PD,"Its projectiles are considered missiles and can intercept other projectiles. When meeting a missile-piercing projectile, reducing its damage by %s.",
Flux Absorber - Fighter,aEP_ftr_ut_supply_main,FSF Manufacture,Support,"When hitting a ship, transfer the target's flux to this ship as hard flux at a speed of %s. If the target is using a ship system that prevents dissipation, no transfer will occur.",
Repair Beam - Fighter,aEP_ftr_ut_repair_beam,FSF Manufacture,Support,"When hitting a ship, repair its armor by %s + %s, up to %s of the maximum armor. Exceeded repair will restore hull integrity up to %s.",
,,,,,
,,,,,
Drake Flamethrower,aEP_e_s_flamer,FSF Private Conversion,Anti-armor,,
Boom Lance,aEP_m_s_bomblance,FSF Private Conversion,Anti-armor,"Ammo detonates automatically when the tip touches a ship and the weapon will not go offline.
When fired manually, the ship will dash to the tip's direction for %s su.",
Lightening Disturb Gun,aEP_b_m_lighting,FSF Advanced Weapon Program,Anti-shield,"When hitting shield, it applies a stackable debuff to the target: For the next %s seconds, increase the target's shield upkeep by %s.",
Sea Roar Super-heavy Railway Cannon,aEP_b_l_railwaygun,FSF Advanced Weapon Program,Anti-armor,"When hitting a ship, if it overloads the target, the projectile will continue forward.",
,,,,,
,,,,,
,,,,,
,,,,,
