name,id,designation,tech/manufacturer,
Assistant,aEP_ftr_ut_supply,,FSF Manufacture,
Decomposer,aEP_ftr_ut_decompose,,FSF Manufacture,
Anchor,aEP_ftr_ut_maodian,,FSF Manufacture,
Diver,aEP_ftr_ut_shendu,,FSF Manufacture,
Whistle,aEP_ftr_ut_shuishi,,FSF Manufacture,
,,,,
,,,,
,,,,
,,,,
,,,,
Waterfall,aEP_cru_pubu,Carrier Cruiser,FSF Advanced Weapon Program,
Pacifier,aEP_cru_pingding,Cruiser,FSF Advanced Weapon Program,
Oscillation,aEP_des_taodong,Destroyer,FSF Advanced Weapon Program,
Symbiosis,aEP_fga_shuangshen,Giant Fighter,FSF Advanced Weapon Program,
--Gunnery,aEP_fga_shuangshen2,Module,FSF Advanced Weapon Program,
Scout Fighter,aEP_ftr_ut_shuangshen3,Fighter,FSF Advanced Weapon Program,
Redtide,aEP_fga_chichao,Dreadnought,FSF Advanced Weapon Program,
,,,,
,,,,
,,,,
,,,,
TypeA-28,aEP_typeA28,unknown,unknown,
TypeB-28,aEP_typeB28,unknown,unknown,
TypeL-28,aEP_typeL28,unknown,unknown,
TypeR-28,aEP_typeR28,unknown,unknown,
Depth MK.II,aEP_des_shendu_mk2,Missile Destroyer,FSF Advanced Weapon Program,
S-1 Cruise Missile,aEP_CruiseMissile,Cruise Missile,FSF Advanced Weapon Program,
S-2 Cruise Missile,aEP_CruiseMissile2,Cruise Missile,FSF Advanced Weapon Program,
Coldtongue,aEP_cru_lengshe,Phase Cruiser,FSF Advanced Weapon Program,
--Shield,aEP_cru_lengshe_front,Module,FSF Advanced Weapon Program,
,,,,
,,,,
FSF Orbital Station,aEP_sta_base1,Station,,
FSF Battle Base,aEP_sta_base2,Battle Station, ,
FSF Star Fortress,aEP_sta_base3,Star Fortress,,
FSF Armed City,aEP_sta_base4,Armed City,,
,,,,
,,,,
FSF Station Inner Armor,aEP_sta_tier1_armor,Station Armour,,1
FSF Station Batter,aEP_sta_tier1_battery,Station Battery,,
FSF Station Hanger-1,aEP_sta_tier1_hanger1,Hangar Module,,
FSF Station Hanger-2,aEP_sta_tier1_hanger2,Hangar Module,,
FSF Station Outer Armor,aEP_sta_tier2_armor,Station Armour,,
FSF Station Outer Battery,aEP_sta_tier2_hull1,Station Battery,,
FSF Station Structure,aEP_sta_tier2_structure,Structure,,
,,,,
,,,,
,,,,
FX Drone,aEP_ut_decoy,,,
FX Drone,aEP_ut_sta_main_rail_l,,,
FX Drone,aEP_ut_sta_main_rail_r,,,
FX Drone,aEP_ut_sta_main_side_l,,,
FX Drone,aEP_ut_sta_main_side_r,,,
,,,,
