name,id,tech/manufacturer,uiTags,desc,short,sModDesc
分流护盾,aEP_ShieldFloating,FSF设计,Shields,特殊的护盾发生器能生成一种近乎半流体的软化护盾，能将冲击传递到整个护盾上然后逐渐平息，这个过程中产生类似分流器的效果耗散硬幅能,,
热填弹系统,aEP_HotLoader,FSF设计,Weapons,"FSF设计的先进填弹辅助设备，高效回收武器开火时的后座能量，能极大提升弹匣武器的持续输出能力

本舰的实弹/能量武器弹药回复速度{%s}",,上述弹药回复速度加成变为{%s}
先锋外壳,aEP_VanguardHull,FSF设计,Defenses,"对船壳硬度的强化尽管在面对大口径武器时其作用被证明是微乎其微，但能显著提升对于少量多次攻击的抗性，且舰船始终可在战后修复

每次船体受到伤害，有{%s}的概率使伤害降低{%s}点",,触发概率变为{%s}，触发后伤害减免变为{%s}
战略推进器,aEP_StrategyThruster,FSF设计,Engines,抢占要地和长程机动是胜利的先决条件，这套引擎改装方案强化了舰船的零幅能加速能力并能屏蔽少量幅能压力对引擎加力档位的干扰，尽管对近身作战没有任何帮助,,
,,,,,,
,,,,,,
,,,,,,
Type28护盾发生器,aEP_Type28Shield,unknown,,一个逻辑计算错误的伽马核心为舰体加装了独立的护盾发生器模块，几乎等同于驱逐舰的体积的模块大小给予了其极好的护盾效率，作为代价拥有对等的维持消耗。此发射器模块无法安装任何插件,,
FSF模块,aEP_Module,FSF设计,,,,
锚点护盾,aEP_MaoDianShield,FSF设计,,独特的护盾系统，展开会持续产生软幅能。但遭到攻击时，如果当前软幅能高于硬幅能，会优先将软幅能转化为硬幅能，而非产生硬幅能。,,
巡航导弹,aEP_CruiseMissile,FSF设计,,自动追踪的巡洋导弹，无法人工控制，靠近敌方舰船时发生爆炸,,
巡航导弹,aEP_CruiseMissile2,FSF设计,,自动追踪的巡洋导弹，无法人工控制，靠近敌方舰船时发生爆炸,,
战机防护增强,aEP_FighterArmor,FSF设计,,"全面增强战机的防护能力，装甲对伤害有更高抗性，武器和引擎更难被下线

装甲，结构，武器与引擎受到的伤害降低{%}",,
坦克集成系统,aEP_FlyingTank,FSF设计,,装甲在受损后会快速回复到最大值,,
消弹护盾,aEP_ProjectileDenialShield,FSF设计,,被可以穿透战机的弹丸命中护盾时，直接消除这颗弹丸，并增长等量于伤害的硬幅能,,
,,,,,,
,,,,,,
,,,,,,
