id,trigger,conditions,script,text,options,notes
aEP_offer_remain_part03,DialogOptionSelected,$option == aEP_offer_remain_part03,,"""You can't get these things without some connections.""","0:aEP_part03_ShowShipBpList:Exchange for ship blueprints
1:aEP_part03_ShowBpPackList:Exchange for blueprint packages
2:cutCommLink:""I'll think about it.""",
aEP_part03_ShowShipBpList,DialogOptionSelected,$option == aEP_part03_ShowShipBpList,aEP_PickReward showPanel ship_bp,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ShowBpPackList,DialogOptionSelected,$option == aEP_part03_ShowBpPackList,aEP_PickReward showPanel bp_package,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ShowWeapBpList,DialogOptionSelected,$option == aEP_part03_ShowWeapBpList,,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ShowShipList,DialogOptionSelected,$option == aEP_part03_ShowShipList,,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ConfirmBuying,DialogOptionSelected,aEP_CheckItem aEP_part03_ConfirmBuying_ 0 checkId,aEP_PickReward confirmBuying,,0:cutCommLink:Cut the comm link,
aEP_part03_Buy,DialogOptionSelected,$option == aEP_part03_Buy,aEP_PickReward buy,,0:cutCommLink:Cut the comm link,
,,,,,,
,,,,,,
#  train marines,,,,,,
aEP_marine_training01,DialogOptionSelected,$option == aEP_marine_training01,,"""Of course, we offer crew-oriented courses in equipment operation, precision shooting, tactical maneuvers, simulated confrontations, and a host of other programs to ensure that the will be able to undertake combat combat missions at the level of regular Marines when their training is completed.""","0:aEP_marine_training_show:""Continue""
1:cutCommLink:""Let me think about it.""",
aEP_marine_training_show,DialogOptionSelected,$option == aEP_marine_training_show,aEP_TrainMarine selection ,,"0:cutCommLink:""Let me think about it.""",
aEP_marine_training_start,DialogOptionSelected,$option == aEP_marine_training_start,aEP_TrainMarine start,,,
,,,,,,
aEP_marine_training_deal,DialogOptionSelected,"$option == aEP_marine_training_deal
",,"""Very well, training will be completed in about 3 months, upon such your crew will re-board your fleet when you visit a non-hostile spaceport.""","0:cutCommLink:""Alright.""",
aEP_marine_training_complete,MarketPostDock,"aEP_TrainMarine check
$hasMarket
!$faction.isHostile
$faction.id != neutral",aEP_TrainMarine complete,,"0:marketVisitBar:""Go get a drink at the nearest bar""",
,,,,,,
,,,,,,
#任务线第一节（stage0） 找武器,,,,,,
aEP_researcher_stage0,MarketPostOpen,"$id == aEP_FSF_DefStation
$faction.id == aEP_FSF
$faction.AWM_MetYang == false
aEP_AdvanceWeaponMission shouldStart
$faction.AWM_1Complete == false","$faction.AWM_MetYang = true
","Some time after docking, you are hanging out in an unrestricted area of the port when you get a communication request from someone who appears to be from the FSF Corporation: ""I've heard about you and your exploits, so I'd like to ask for your help for a matter regarding the company. Shall we meet up to discuss it?""","0:aEP_researcher_stage0_GreetAccept:""Tell me the details.""
1:aEP_researcher_stage0_GreetDecline:""Sorry, I'm busy at the moment.""",
aEP_researcher_stage0_GreetAccept,DialogOptionSelected,$option == aEP_researcher_stage0_GreetAccept,aEP_AdvanceWeaponMission shouldStart,"""Trust me, you will not regret it taking on this mission. That said, may we switch to your personal comms? This matter involves some confidentiality.""",0:aEP_researcher_stage0_talk01:Continue,
,,,,,,
#触发了空间站弹出文本后，给人物打上高亮提醒这有一个任务,,,,,,
aEP_researcher_stage0_GreetDecline,DialogOptionSelected,$option == aEP_researcher_stage0_GreetDecline,"FireBest MarketPostOpen
aEP_AdvanceWeaponMission highlightPerson lili_yang  on",,,
aEP_researcher_stage0_greeting_in,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Talked == false
$faction.AWM_MetYang == true SCORE:100
$faction.AWM_1Complete == false
","ShowPersonVisual
","""Do you have some time now? While this job will involve some confidential material, I promise you that the payoff will be quite large.""","0:aEP_researcher_stage0_talk01:""Tell me the details.""
1:cutCommLink:""Sorry, I'm still rather busy as of now.",
aEP_researcher_stage0_greeting_InWithHostile,PickGreeting,"$isaEP_Researcher 
$faction.isHostile SCORE:10000
$faction.AWM_MetYang == true

","ShowPersonVisual
","""Even though I personally trust your strength and competence, it would be troublesome to get involved with you given your current relationship with the Company. We'll talk about other things after you've resolved your reputation with us.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage0_greeting_normal,PickGreeting,"$isaEP_Researcher 
$faction.AWM_MetYang == false
$faction.AWM_1Complete == false","ShowPersonVisual
","""You are speaking to the director of the FSF's Advanced Weapons Program, $personName. Now, how do you have my contact information? I don't think I've listed it in the public directory.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage0_talk01,DialogOptionSelected,"$option == aEP_researcher_stage0_talk01
$faction.AWM_1Talked == false
$faction.AWM_1Complete == false","ShowPersonVisual
$faction.AWM_1Talked = true

","""Well, let's just have a face to face talk, shall we?"" - while you're looking at your personal terminal, $personFirstName herself has found you in the unrestricted section. ""You certainly don't look as legendary as the rumours make you, for what its worth. If you don't mind, shall we head to my office and talk?""","0:aEP_researcher_stage0_talk02:""Maybe you should tell me what kind of work it is first.""",
,,,,,,
# 要等人物头像出来了，对话对象才是人物而不是站点，这个消除高亮才有效,,,,,,
aEP_researcher_stage0_talk02,DialogOptionSelected,$option == aEP_researcher_stage0_talk02,aEP_AdvanceWeaponMission highlightPerson lili_yang  off,"""Unfortunately, I can't say too much until I have your cooperation, as this matter involves certain confidential matter. But I am confident that a captain like you should be quite interested in the latest products from the Company's secret research institute, no?"" With that, you somewhat half-heartedly follow $personFirstName, into the depths of the restricted area.

From the looks of things $heOrShe should have fairly high clearance, at least high enough to bring a stranger through the fortress unhindered. After some time on foot, you arrive at what appears to be a design office. Walking through the side-by-side offices along the way, you can see the drawings on the terminals within, and with your experience as a captain of spaceships you immediately realize that the main products of this particular place are shipboard weapons - likely advanced ones.

After walking through the office area, you ascend through an escalator to what appears to be the management area. In front of an office with the title ""Project Manager"" mounted to the door, $personFirstName swipes a card across a nearby scanner, opening it.",0:aEP_researcher_stage0_talk03:Follow $himOrHer in,
aEP_researcher_stage0_talk03,DialogOptionSelected,$option == aEP_researcher_stage0_talk03,aEP_AdvanceWeaponMission show1,"$personFirstName sits down on $heOrShe's seat and says to you while operating the terminal, ""To make it short, I need you to collect some weapons - those that aren't in our inventory - for my institute in the name of your fleet,"" $heOrShe sends a detailed message to your personal terminal, detailing a list of weapons, their rumored specifications and appearences, and various other intel on them.","0:aEP_researcher_stage0_talk04:""I feel like I'm entitled to an explanation at least.""
1:aEP_researcher_stage0_AskAccept:Continue",
aEP_researcher_stage0_talk04,DialogOptionSelected,$option == aEP_researcher_stage0_talk04,,"""Interested, huh? I like that."", $heOrShe says as she stops what she is doing and gets up and walks around to you, crossing her arms over her chest and leaning her back against the wall. ""I should formally introduce myself; although you probably noticed by now, I am the director of the Company's 'Advanced Weapons Program', You can think me of a sort of researcher, but not the usual kind.""

""Specifically, my job is to ensure the smooth running of the project, which means being familiar with various 'channels' such as you, Captain."", $personFirstName left the wall and continued while returning to $hisOrHer computer desk, ""I've researched your exploits and believe that building a relationship with you would be beneficial to both me personally and the company.""

""I can't say much about the 'Advanced Weapons Program', just go with the name for now. For some tasks, especially those related to the procurement of weapons, going through the red tape takes more effort than getting a capable independent captain like you to handle them, which is why I've spent all this trouble looking for someone like you. Upon completion of this task, I will give you some prototype weapons from my program that are not available on the market. Think of it as helping us test their capabilities and checking the data, though, rest assured they are feature-complete and operational in all manner - just not mass produced for various reasons.""","0:aEP_researcher_stage0_AskAccept:""Very reasonable.""",
aEP_researcher_stage0_AskAccept,DialogOptionSelected,$option == aEP_researcher_stage0_AskAccept,,"""Are you willing to take this job on?""","0:aEP_researcher_stage0_Accept:Accept
1:aEP_researcher_stage0_Decline:Decline
",
,,,,,,
#当玩家接受任务后，取消人物高亮,,,,,,
aEP_researcher_stage0_Accept,DialogOptionSelected,$option == aEP_researcher_stage0_Accept,"aEP_AdvanceWeaponMission start1
$faction.AWM_1Accepted = true
","""Very well. Good luck on the task - for the sake of us both!""",0:cutCommLink:Return to your ship,
aEP_researcher_stage0_Decline,DialogOptionSelected,$option == aEP_researcher_stage0_Decline,aEP_AdvanceWeaponMission highlightPerson lili_yang  on,"""That's too bad. If you come around to changing your mind, you can contact me again.""",0:cutCommLink:Return to your ship,
aEP_researcher_stage0_ReAsk,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Accepted == false
$faction.AWM_1Talked == true
$faction.AWM_MetYang == true
$faction.AWM_1Complete == false","ShowPersonVisual
aEP_AdvanceWeaponMission show1","""So, have you changed your mind?""","0:aEP_researcher_stage0_Accept:Accept
1:aEP_researcher_stage0_Decline:Decline",
aEP_researcher_stage0_ReAskAccepted,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Accepted == true
$faction.AWM_1Talked == true
$faction.AWM_MetYang == true
$faction.AWM_1Complete == false
","ShowPersonVisual
","""How's it going?""","0:cutCommLink:""I'm afraid you'll have to wait a few more days.""",
aEP_researcher_stage0_ReAskComplete,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Accepted == true
$faction.AWM_1Talked == true
$faction.AWM_MetYang == true 
$faction.AWM_1Complete == false
aEP_AdvanceWeaponMission check1 SCORE:100

","ShowPersonVisual
$faction.AWM_1Complete = true
aEP_AdvanceWeaponMission complete1
aEP_HandInParts aEP_b_m_lighting -2 none 0","""Very well done, just as I expected. Here's to a fulfilling future partnership!""","0:aEP_researcher_stage0_Complete_talk01:""So, let me see what's so special about the payment.""",
aEP_researcher_stage0_Complete_talk01,DialogOptionSelected,$option == aEP_researcher_stage0_Complete_talk01,,"""As the name of the department suggests, we are responsible for weapons development in the Company. Naturally there were many projects that were close to success but were dropped because they were either too costly or too unreliable in harsh environments, and we don't want these 'experiments' to just sit in storage and rot.""","0:cutCommLink:""Let's hope that these 'failed experiments' have that value in the field.""",
,,,,,,
,,,,,,
#任务线第二节（stage1） 摧毁无人舰,,,,,,
aEP_researcher_stage1,MarketPostOpen,"$id == aEP_FSF_DefStation
$faction.id == aEP_FSF
$faction.AWM_2MetYang == false
$faction.AWM_1Complete == true
$faction.AWM_2Complete == false
aEP_AdvanceWeaponMission shouldStart2
","$faction.AWM_2MetYang = true
aEP_AdvanceWeaponMission highlightPerson lili_yang  on","As you approach the space station you are greeted with a message, direct from an internal FSF channel: ""Captain, I have a new job for you, so feel free to contact me if you are interested - you have my comms ID after all - Yang""","0:aEP_researcher_stage0_GreetDecline:""Got it.""",
aEP_researcher_stage1_greeting_out,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Complete == true
$faction.AWM_2Complete == false

","ShowPersonVisual
","""You have my thanks for your helpful collaboration with us last time; but unfortunately I don't have an assignment for you at the moment.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage1_greeting_in,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2MetYang == true
$faction.AWM_1Complete == true
$faction.AWM_2Talked == false
$faction.AWM_2Complete == false
aEP_AdvanceWeaponMission shouldStart2
","ShowPersonVisual
$faction.AWM_2Talked = true
","After picking up the comms, you meet up in the commercial area of the open area of the station, but this time $personName is not wearing the civilian attire you saw her last, but the FSF uniform, looking like a commmissioned officer of the company. Like last time, $heOrShe leads you through the restricted area like nobody's business, but instead of heading to the research quarters, you are led straight to the Company's military zone

Eventually you stop at some sort of conference room, where a presentation seems to have been held earlier, with a central holographic projection of a ship you can't identify floating in an asteroid belt, presumably the self-replicating unmanned probes of the Domain Explorarium, judging from the rough structural finish and the worn out crest of the Domain of Man painted on the side.

$personFirstName stands by and waits for you to finish examining the strange ship, before making a gesture, causing the holographic projection to begin playing out in full. As you watch, the drone ship stays silent while asteroids float around, but the moment a certain asteroid is about to hit the drone ship, it creates a shield.",0:aEP_researcher_stage1_talk01:Continue,
aEP_researcher_stage1_talk01,DialogOptionSelected,$option == aEP_researcher_stage1_talk01,"
aEP_AdvanceWeaponMission highlightPerson lili_yang  off","$personFirstName looks at the tablet in $hisOrHer hand and says to you, ""This mission is urgent. The objective is the destruction f this particular Domain-era unmanned probe, and the retrieval of its shield core.""","0:aEP_researcher_stage1_talk02:""Looks like some kind of unmanned probe with shields installed, what's so unique about it that FSF can't handle?""",
aEP_researcher_stage1_talk02,DialogOptionSelected,$option == aEP_researcher_stage1_talk02,,"As if $heOrShe knew this query would come up, $personFirstName flips the tablet over in his hand, displaying a battle report from one of the FSF fleets, beginning her explanation, ""Three months ago a company-employed exploration fleet discovered this unique drone ship. The company then sent a medium sized combat fleet to recover it, only for a firefight to ensue.""

$heOrShe hands you the tablet and says, ""The results are on this report. After suffering light losses, the fleet commander judged that although he could have won the engagement, he would have suffered a lot of unnecessary damage and so requested command to have another, larger fleet deal with it - and given the special nature of this ship, I felt you and your fleet would be the best option to do so.""","0:aEP_researcher_stage1_talk03:""Why am I the best person for the job? I don't really understand.""
1:aEP_researcher_stage1_talk04:""Tell me about the characteristics of the target, I need more information.""",
aEP_researcher_stage1_talk03,DialogOptionSelected,$option == aEP_researcher_stage1_talk03,aEP_AdvanceWeaponMission show2,"$personFirstName stands across from you and laughs out loud, rushing to cover $hisOrHer mouth with $hisOrHer hand and says, ""I'm so sorry $playerName, it looks like you're a bit slower to the uptake than I thought."" Sensing that $personFirstName means no harm, you smile back to hide your embarrassment.

""Yes, this is a very special drone ship and I need the data very badly for the program, so theoratically deploying a Company force to retrieve it would be the best course of action. But it is equally important to keep it out of the hands of other powers. Which brings me to my second point - a medium battle fleet followed immediately by a large battle fleet heading towards the same place will be the talk of the sector no matter what they bring back. That's why this would be a lot more trouble if it were the company, instead of you, doing it - no one is going to be watching where independent captains are flying all day, and it's better to let this drone remain a secret than provoke a troublesome scuffle over it.""",,
aEP_researcher_stage1_talk04,DialogOptionSelected,$option == aEP_researcher_stage1_talk04,aEP_AdvanceWeaponMission show2,"$personFirstName fiddles with the tablet a few times and pulls up a document with specifications, handing it back to you. ""What makes this drone ship special is not just that it 'has' shields; after all, installing shields on an unshielded drone is not that difficult, all it takes is an AI with the right logic,"" she explains, ""What really caught our attention was its impossibly good shield efficiency. According to the description in the previous engagement report, the ship's shields only began to show instability after taking several times the damage of a conventional ship's shield absorption limit, and the fleet's technical officer judged that with their current firepower, attempting to overload its shields would cause the fleet would have to suffer greater losses.""

Seeing your half-hearted look, $personFirstName doesn't show you any more information, but continues, ""Aside from the unreasonable shields, the rest of the ship, like its counterparts in the sector, can simply be called 'serviceable' - which means it shouldn't be too difficult for you to take it apart.""
",,
aEP_researcher_stage1_talk05,DialogOptionSelected,$option == aEP_researcher_stage1_talk05,aEP_HandInParts aEP_b_m_lighting -2 none 0,"""Because of this, I'll hand your 'payment' in advance - just note it's something that hasn't been put into mass production and the Company doesn't have a lot of samples.""","0:aEP_researcher_stage1_AskAccept:""Thank you very much.""",
aEP_researcher_stage1_AskAccept,DialogOptionSelected,$option == aEP_researcher_stage1_AskAccept,"ShowPersonVisual

","""Are you willing to take this job on?""","0:aEP_researcher_stage1_Accept:Accept
1:aEP_researcher_stage1_Decline:""I need to think about it.""
",
aEP_researcher_stage1_Accept,DialogOptionSelected,$option == aEP_researcher_stage1_Accept,"aEP_AdvanceWeaponMission start2
$faction.AWM_2Accepted = true
","""Good luck, I wouldn't want the Company to lose such a promising partner.""",0:cutCommLink:Return to your ship,
aEP_researcher_stage1_Decline,DialogOptionSelected,$option == aEP_researcher_stage1_Decline,aEP_AdvanceWeaponMission highlightPerson lili_yang  on,"""Considering this mission is no child's play, I understand. Take some time to think about it.""",0:cutCommLink:Return to your ship,
,,,,,,
aEP_researcher_stage1_ReAsk,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Accepted == false
$faction.AWM_2Talked == true
$faction.AWM_2MetYang == true
$faction.AWM_2Complete == false","ShowPersonVisual
","""So, what do you think?""","0:aEP_researcher_stage1_Accept:Accept
1:aEP_researcher_stage1_Decline:""I need to think about it.""",
aEP_researcher_stage1_ReAskAccepted,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Accepted == true
$faction.AWM_2Talked == true
$faction.AWM_2MetYang == true
$faction.AWM_2Complete == false
","ShowPersonVisual
","""Are you in trouble?""","0:cutCommLink:""I'm afraid you'll have to wait a few more days.""",
aEP_researcher_stage1_ReAskComplete,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Accepted == true
$faction.AWM_2Talked == true
$faction.AWM_2MetYang == true 
$faction.AWM_2Complete == false
aEP_AdvanceWeaponMission check2 SCORE:100

","ShowPersonVisual
$faction.AWM_2Complete = true
aEP_AdvanceWeaponMission complete2
aEP_HandInParts aEP_b_l_railwaygun -1 none 0","""We have received the shield generator you removed, so I'll begin handing over your remaining 'payment'. This prototype was once considered a very rewarding achievement for the Company, but alas, only one of it was ever produced. I hope this...somewhat unsuccessful candidate will be able to demonstrate its brilliance in your hands.""","0:cutCommLink:""Just this one? Quite a sincere payment.""",
,,,,,,
,,,,,,
#任务线第三节，巡洋导弹舰队,,,,,,
aEP_researcher_stage2,MarketPostOpen,"$id == aEP_FSF_DefStation
$faction.id == aEP_FSF
$faction.AWM_3MetYang == false
$faction.AWM_2Complete == true
$faction.AWM_3Complete == false
aEP_AdvanceWeaponMission shouldStart3
","$faction.AWM_3MetYang = true
aEP_AdvanceWeaponMission highlightPerson lili_yang  on","As you approach the station, you are greeted with a familiar communication request, ""Urgent mission, come quickly. - Yang"". From the brief content you can sense that something unusual is afoot.","0:aEP_researcher_stage0_GreetDecline:""Got it.""",
aEP_researcher_stage2_greeting_out,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Complete == true
$faction.AWM_3Complete == false

","ShowPersonVisual
","""It's good to see you，$playerName，although I don't have any tasks for you to go out and handle at the moment. Perhaps we could cultivate a personal relationship?""","0:cutCommLink:""Next time.""",
aEP_researcher_stage2_greeting_in,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3MetYang == true
$faction.AWM_2Complete == true
$faction.AWM_3Talked == false
$faction.AWM_3Complete == false
aEP_AdvanceWeaponMission shouldStart3
","ShowPersonVisual
$faction.AWM_3Talked = true
","""Your arrival at this time is forfuitious, I have an urgent matter that requires your abilities - head to Restricted Deck R024, I will be waiting for you there.""",0:aEP_researcher_stage2_talk01:Board your shuttle and head to R024.,
aEP_researcher_stage2_talk01,DialogOptionSelected,$option == aEP_researcher_stage2_talk01,"
aEP_AdvanceWeaponMission highlightPerson lili_yang  off","As your shuttle comes into dock, you look through the porthole and see $personFirstName standing in the crowd swinging $hisOrHer head from side to side as she looks for your vessel.","0:aEP_researcher_stage2_talk02:""Its quite rare，$personFirstName, to see you in a state of distress.""",
aEP_researcher_stage2_talk02,DialogOptionSelected,$option == aEP_researcher_stage2_talk02,,"$personFirstName nods at your noting of $hisOrHer discomfort, and without hesitation leads you in the direction of the Advanced Weapon Program's laboratories, all the way until you arrive back at $hisOrHer office.

As the office door closes, you can see the seriousness written all over $personFirstName's face. ""One of our prototype ships,"" $heOrShe declares with a frown, ""has been intercepted.""",0:aEP_researcher_stage2_talk03:Ask about the details of this matter,
aEP_researcher_stage2_talk03,DialogOptionSelected,$option == aEP_researcher_stage2_talk03,,"$heOrShe props one hand on the table and leans forward to explain the situation to you. Some time ago, $personFirstName had commissioned the Commercial Centre's Orbital Works to build a ship designed by the Advanced Weapons Program project team, but right after the first test voyage, she lost all contact with it, only to subsequently receive a blackmail message from a pirate.

""We have enough information to suggest that the test fleet was not simply hijacked from the outside by the pirates, but that someone hacked into the flagship's systems during the contact and sent orders to the surrounding fleet to surrender, allowing the pirates to easily take over the entire fleet."" ,said $personFirstName, pausing for a moment, ""This means that not only do we have a mole in our testing unit, it also means that this group of pirates now has a military grade Company fleet.""","0:aEP_researcher_stage2_talk04:""Well, now I can understand why you are so anxious.""",
aEP_researcher_stage2_talk04,DialogOptionSelected,$option == aEP_researcher_stage2_talk04,,"""That's not the main reason for my anxiety. You see, this particular prototype ship is fitted with one of our prototype weapons - a launch platform for strategic cruise missiles capable of destroying a small fleet before sensors can detect the presence of its accompanying fleet. And should a strategic weapon made by us end up in the pirates' hands and is used by them to attack other factions, we would have a big problem that involves the entire Sector. The Hegemony won't just sit idly by...in any case, I want you to destroy that fleet; as for the prototype ship, you can keep it for yourself or give it to us, I trust you won't abuse it.""","0:aEP_researcher_stage2_AskAccept:""Looks like this is a really serious matter.""",
aEP_researcher_stage2_AskAccept,DialogOptionSelected,$option == aEP_researcher_stage2_AskAccept,"ShowPersonVisual

","""So, are you willing to accept this mission?""","0:aEP_researcher_stage2_Accept:Accept
1:aEP_researcher_stage2_Decline:""I need to think about it.""
",
aEP_researcher_stage2_Accept,DialogOptionSelected,$option == aEP_researcher_stage2_Accept,"aEP_AdvanceWeaponMission start3
$faction.AWM_3Accepted = true
","""Approach quickly and then make quick work of it, Captain. I suspect they will be willing to test the power of the cruise missiles, and you'll be a target at long range.""",0:cutCommLink:Return to your ship,
aEP_researcher_stage2_Decline,DialogOptionSelected,$option == aEP_researcher_stage2_Decline,aEP_AdvanceWeaponMission highlightPerson lili_yang  on,"""Considering this mission is no child's play, I understand. But considering the urgentness of the situation, please hurry.""",0:cutCommLink:Return to your ship,
,,,,,,
aEP_researcher_stage2_ReAsk,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == false
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true
$faction.AWM_3Complete == false","ShowPersonVisual
","""So, what do you think?""","0:aEP_researcher_stage2_Accept:Accept
1:aEP_researcher_stage2_Decline:""I need to think about it.""
",
aEP_researcher_stage2_ReAskAccepted,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == true
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true
$faction.AWM_3Complete == false
","ShowPersonVisual
","""Have you met with any trouble?""","0:cutCommLink:""I'm afraid you'll have to wait a few more days.""",
aEP_researcher_stage2_ReAskComplete,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == true
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true 
$faction.AWM_3Complete == false
aEP_AdvanceWeaponMission check3 score:100
","
ShowPersonVisual
$faction.AWM_3Complete = true
aEP_AdvanceWeaponMission complete3
","""I've just recieved a message indicating that the signal of the prototype ship in the pirate fleet has disappeared, thanks to you. While the data of the prototype is still there, if you succeed in recovering that prototype ship you can hand it back to us, which will save us a lot of time.""","0:cutCommLink:""Sure.""",
aEP_researcher_stage2_ReAskHandIn,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == true
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true 
$faction.AWM_3Complete == true
$faction.AWM_3RecoveredShip == false
aEP_AdvanceWeaponMission shouldGive3
","ShowPersonVisual
","""You managed to recover this prototype ship? Very well, you can keep it now as the reward, I hereby officially transfer the ownership to you, do remember after now all you have done with this ship is your responsibility, the weapon is sold""","
1:aEP_researcher_stage2_ReAskHandInDecline:""I'll take it""
",
